1_0	SELECT COUNT(*) FROM event_log WHERE activity = 'Fim da viagem';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem'	easy	1
1_1	SELECT COUNT(*) FROM event_log WHERE activity = 'Fim da viagem';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem'	easy	1
1_2	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem'	easy	1
1_3	SELECT COUNT(*) FROM event_log WHERE activity = 'Fim da viagem';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem'	easy	1
1_4	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem'	easy	1
1_5	SELECT COUNT(*), resource FROM event_log WHERE activity = 'Fim da viagem' GROUP BY resource;	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem'	easy	0
1_6	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem'	easy	1
1_7	SELECT COUNT(*) FROM event_log WHERE activity = 'Fim da viagem';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem'	easy	1
1_8	SELECT COUNT(*) FROM event_log WHERE activity = 'Fim da viagem';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem'	easy	1
1_9	SELECT COUNT(*) FROM event_log WHERE activity = 'Fim da viagem';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem'	easy	1
1_10	SELECT COUNT(*) FROM event_log WHERE activity = 'Fim da viagem';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem'	easy	1
2_0	SELECT COUNT(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James'	medium	1
2_1	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James'	medium	1
2_2	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James'	medium	1
2_3	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James'	medium	1
2_4	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James'	medium	1
2_5	SELECT COUNT(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James'	medium	1
2_6	SELECT COUNT(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James'	medium	1
2_7	SELECT COUNT(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James'	medium	1
2_8	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James';	SELECT count(*) FROM event_log WHERE activity = 'Fim da viagem' AND resource = 'James'	medium	1
